symbol,price
OCEANBUSD,0.28480000
OCEANUSDT,0.95330000
NMRBTC,0.00041360
NMRBUSD,11.43000000
NMRUSDT,27.68000000
DOTBNB,0.01238000
DOTBTC,0.00010670
DOTBUSD,7.37300000
DOTUSDT,7.14200000
LUNABNB,0.00000019
LUNABTC,0.00000001
LUNABUSD,0.94420000
LUNAUSDT,0.58670000
IDEXBTC,0.00000087
IDEXBUSD,0.04879000
RSRBNB,0.00000852
RSRBTC,0.00000016
RSRBUSD,0.00184000
RSRUSDT,0.00839800
PAXGBNB,6.46900000
PAXGBTC,0.03567000
PAXGBUSD,1941.00000000
PAXGUSDT,2386.00000000
WNXMBNB,0.17350000
WNXMBTC,0.00067200
WNXMBUSD,22.16500000
WNXMUSDT,67.73000000
TRBBNB,0.51700000
TRBBTC,0.00178100
TRBBUSD,90.12000000
TRBUSDT,119.54000000
ETHNGN,805670.00000000
DOTBIDR,72297.00
LINKAUD,7.98600000
SXPAUD,1.86800000
BZRXBNB,0.00514000
BZRXBTC,0.00000463
BZRXBUSD,0.21640000
BZRXUSDT,0.21560000
WBTCBTC,0.99960000
WBTCETH,21.44000000
SUSHIBNB,0.00269800
SUSHIBTC,0.00001651
SUSHIBUSD,0.56600000
SUSHIUSDT,1.10600000
YFIIBNB,4.42000000
YFIIBTC,0.07249000
YFIIBUSD,1192.00000000
YFIIUSDT,435.50000000
KSMBNB,0.09080000
KSMBTC,0.00045800
KSMBUSD,18.87000000
KSMUSDT,30.62000000
EGLDBNB,0.06970000
EGLDBTC,0.00060300
EGLDBUSD,41.53000000
EGLDUSDT,40.40000000
DIABNB,0.00381300
DIABTC,0.00000750
DIABUSD,0.23840000
DIAUSDT,0.50260000
RUNEUSDT,6.84300000
FIOUSDT,0.03551000
UMABTC,0.00005364
UMAUSDT,3.59000000
EOSUPUSDT,0.21130000
EOSDOWNUSDT,0.00036650
TRXUPUSDT,0.03854000
TRXDOWNUSDT,1.13900000
XRPUPUSDT,0.08550000
XRPDOWNUSDT,0.00008172
DOTUPUSDT,0.09600000
DOTDOWNUSDT,16.73700000
SRMBIDR,26748.00
ONEBIDR,119.92
LINKTRY,525.50000000
USDTNGN,1518.40000000
BELBNB,0.00253800
BELBTC,0.00001319
BELBUSD,0.53560000
BELUSDT,0.88150000
WINGBNB,0.04865000
WINGBTC,0.00010930
SWRVBNB,0.00150400
SWRVBUSD,0.56490000
WINGBUSD,5.79000000
WINGUSDT,5.99000000
LTCUPUSDT,0.48010000
